"name","group","element","units","context","S233206","S233207","S233208","S233209","S233210","S233211","S233212","S233213","S233214","S233215","S233216","S233217","S233218","S233219","S233220","S233221","S233222","S233223","S233224","S233225","S233226","S233227","S233228","S233229","S233230","S233231","S233232","S233233","S233234","S233235","S233236","S233237","S233238","S233239","S233240","S233241","S233242","S233243","S233244","S233245","S233246","S233247","S233248","S233249","S233250","S233251","S233252","S233253","S233254","S233255","S233256","S233257","S233258","S233259","S233260","S233261","S233262","S233263","S233264","S233265","S233266","S233267","S233268","S233269","S233270","S233271","S233272","S233273","S233274","S233275","S233276","S233277","S233278","S233279","S233280","S233281","S233282","S233283","S233284","S233285","S233286","S233287","S233288","S233289","S233290","S233291","S233292","S233293","S233294","S233295","S233296","S233297","S233298","S233299","S233300","S233301"
Plantago lanceolata,UPHE,pollen,NISP,,1,1,1,1,3,6,9,8,11,17,12,5,4,3,4,11,11,3,10,17,9,17,16,13,25,16,11,18,14,23,22,10,16,19,13,19,24,12,19,27,21,24,26,25,12,24,17,22,30,37,19,27,6,4,5,8,10,4,2,3,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago major,UPHE,pollen,NISP,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
Plantago media,UPHE,pollen,NISP,,,,1,1,1,,1,1,,,1,5,2,1,,3,2,1,1,2,,1,,,2,1,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,97,87,103,134,131,126,97,89,93,127,99,97,83,95,77,80,73,78,103,91,87,104,128,120,161,113,110,91,124,147,132,133,210,223,195,213,157,188,123,142,127,179,173,165,118,196,122,230,194,198,190,204,73,56,67,64,45,47,57,30,23,38,24,27,29,31,30,28,23,32,27,42,30,34,48,72,64,33,47,24,36,37,31,28,37,37,36,34,31,44,72,65,228,87,140,110
Poaceae (Cerealia) undiff.,UPHE,pollen,NISP,,12,14,15,17,22,31,29,28,30,31,25,21,17,15,8,6,8,5,12,6,5,7,4,10,7,6,4,5,2,2,5,7,2,2,1,1,1,2,,,1,,,,,1,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae (Cerealia-type),UPHE,pollen,NISP,,10,8,11,10,11,13,17,16,19,24,21,7,7,8,6,7,11,5,9,6,3,10,6,8,3,3,3,9,5,5,5,3,5,10,8,11,9,5,7,2,9,4,7,5,15,8,4,6,11,6,4,8,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonum aviculare-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,17,19,20,16,19,21,15,10,12,10,15,17,19,20,32,32,43,21,28,31,12,19,20,20,15,18,7,16,14,24,15,27,25,30,29,40,36,31,23,32,14,28,26,37,39,48,59,97,76,100,82,154,27,15,18,14,11,18,15,14,14,16,29,18,21,26,16,43,18,23,19,16,10,9,18,21,40,13,13,4,7,6,6,6,14,6,12,2,9,10,24,10,2,2,,
Polypodium vulgare-type,VACR,spore,NISP,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
Populus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,1,,,,,,,1,2,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,2,,1,,,1,2,1,1,,,,,,,5,,8,,3,2,2,,5,22,19,41,18,15,21,10,2,7,6,
Potamogeton,AQVP,pollen,NISP,,,,,,,,,,,1,1,1,,,1,,,,,,,,4,3,,1,1,,,,,,,,1,2,2,,,,1,,,,3,,,,1,1,,,,1,,,,2,1,,,,,,,3,,,,,,,,,,,,1,,1,,,11,,,2,2,,,,1,,1,1,,
Potentilla-type,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Prunus-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudopediastrum boryanum,ALGA,colony,NISP,,298,276,307,354,543,777,821,833,897,942,921,648,653,685,682,922,1563,1292,1733,1136,535,415,599,478,667,745,754,874,1064,1054,1199,1019,697,729,963,556,712,933,839,977,1087,1004,1440,1309,2389,1448,1305,1650,1165,1980,1060,1641,131,181,151,198,111,146,141,120,151,74,59,57,106,62,109,48,12,47,40,31,28,48,78,66,127,62,56,66,29,16,19,6,6,3,8,18,5,11,8,8,26,26,45,35
Pteridium aquilinum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,2,1,,,,4,,2,1,3,3,,,,,1,5,,1,,,,,,,,1,1,,1,,,1,,1,,,1,1,2,1,1,4,,1,,,,,2,3,5,2,2,1,4,5,4,1,2,,1,2,2,7,3,2,2,2,,,2,,,,,,,,
Quercus,TRSH,pollen,NISP,,33,28,32,40,37,35,28,24,26,29,32,36,33,35,49,47,31,60,56,40,55,76,74,90,105,79,85,121,89,139,119,96,79,54,61,56,116,84,126,119,117,89,125,120,118,115,51,70,74,72,49,95,103,121,105,148,122,125,122,120,152,115,119,84,123,141,124,136,107,140,121,135,92,87,98,62,59,51,45,25,17,8,5,17,3,3,,1,1,2,,,,,,
Ranunculaceae,UPHE,pollen,NISP,,1,,2,,,1,1,,1,,,1,1,,2,,2,4,2,1,2,3,3,1,2,1,2,1,3,2,,1,,,,5,,,1,,1,1,,,,,,3,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ranunculus flammula-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rhamnus cathartica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinanthus-type,UPHE,pollen,NISP,,,,,,,,,,8,,,,,,,,2,2,,,1,,1,,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchospora alba,AQVP,pollen,NISP,,,,,,,,1,2,1,3,,1,,,,,,,1,,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,,,,,,,,1,1,,,,,,,,2,1,3,,,1,,1,1,,1,1,,2,,3,2,,,,,1,,3,,,,,,,,1,,1,,3,1,1,1,,,1,,,,1,,,,1,,1,1,,,,,,,,,,,,,4,,,1,,,,1,,,,,1,1,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,1,1,1,1,1,1,,1,2,,2,1,,,1,2,1,,2,1,1,1,2,,,1,1,,,3,,2,1,1,,1,,,,3,2,,1,2,2,1,2,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,9,1
Rumex acetosella-type,UPHE,pollen,NISP,,12,10,11,13,14,7,16,20,23,35,28,25,21,15,26,20,22,39,27,25,29,29,39,25,31,15,7,24,10,12,14,11,14,27,16,25,21,11,9,13,16,12,15,21,10,23,8,41,37,33,25,30,4,2,2,,1,5,1,1,,1,1,1,,1,1,,,,2,,,,,,,,,,,,1,1,,,,,1,,,,,,9,1
Salix,TRSH,pollen,NISP,,2,1,2,5,3,1,2,4,2,3,3,2,3,2,2,4,1,7,6,6,16,12,8,9,9,6,5,9,10,12,14,6,8,6,4,3,4,7,6,13,7,4,6,8,7,11,4,10,5,4,3,10,2,2,2,3,2,1,3,6,1,,3,3,1,3,5,3,,3,2,3,,1,5,1,3,2,2,2,3,4,5,3,8,5,5,7,5,7,15,9,85,40,25,8
Sambucus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,1,,,,,1,1,,,,,,,,,,,,1,,1,,,3,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,1,,,,,
Schoenoplectus lacustris subsp. lacustris-type,AQVP,pollen,NISP,,,,,,,1,1,1,1,1,1,,,3,,,2,,,,,,4,2,3,,,,2,,3,,,,,,1,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scleranthus annuus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scleranthus perennis,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serratula-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorbus aucuparia,TRSH,pollen,NISP,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
Sparganium-type,AQVP,pollen,NISP,,1,1,,,,1,1,,,1,1,1,1,,1,,1,1,,1,4,4,2,2,4,3,6,2,7,5,1,2,3,1,3,3,5,5,2,2,2,2,4,5,8,3,1,8,3,7,10,10,1,,3,8,1,1,,1,2,1,3,6,1,1,2,,,,,3,,1,1,,,3,6,2,5,6,4,5,6,4,1,5,12,14,21,,,,,
Spergula-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,1,2,2,1,1,2,1,,,,1,,,1,,,,1,,1,3,1,2,,1,2,1,,,2,2,,1,1,2,3,,,,,,3,2,2,1,,2,3,2,3,1,6,1,,2,,,3,,2,1,,1,,1,,4,,,,,,,,,1,1,1,,,,,,,,1,,,,,2,,1,1,1,2
Succisa pratensis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,2,1,,,1,,,,,,1,2,1,,1,,,1,,1,,1,,,,2,,,,,,,1,,1,,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,3,3,6,2
Thelypteris palustris,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,2,,5,,1,1,3,,1,1,1,,,,,2,,,,1,,1,1,,,,1,2,,2,1,7,,1,1,2,1,,1,,,,,,1,1,3,,,2,1,,,1,3,3,3,2,5,2,1,3,3,1,,3,2,1,,2,1,2,,,,
Tilia,TRSH,pollen,NISP,,1,4,2,,,3,1,,,,,,2,1,3,5,4,2,4,3,4,3,4,4,13,4,4,2,5,2,6,3,5,5,4,4,3,6,6,7,3,9,7,4,4,4,5,8,7,6,9,9,24,26,25,17,14,18,18,13,39,36,49,27,33,34,30,36,48,36,42,64,56,61,57,61,68,62,59,73,25,13,4,,,,,,,,,,,,,
Trifolium repens,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trollius europaeus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha latifolia,AQVP,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,2,,,1,1
Ulmus,TRSH,pollen,NISP,,13,12,15,14,13,16,14,13,14,13,11,13,4,4,1,4,4,4,1,3,7,1,9,4,9,7,8,10,8,10,12,8,8,6,8,8,6,4,6,11,9,16,4,17,22,18,11,8,6,11,3,15,12,38,41,32,8,11,24,14,35,16,40,33,14,46,67,60,49,80,57,83,82,72,86,97,94,60,88,57,78,46,42,36,35,9,,7,4,4,2,1,,,,
Unknown,UNID,pollen/spore,NISP,,3,5,3,2,2,1,1,1,1,3,2,4,2,2,1,1,3,3,2,4,3,4,4,2,1,3,,3,1,3,5,3,4,4,2,2,6,3,3,3,4,5,2,5,4,4,5,3,2,2,2,3,4,1,3,6,,1,2,,,,2,1,3,,2,2,,3,1,1,,1,,,2,1,,3,1,,3,1,2,,4,4,2,1,1,1,1,1,2,4
Urtica,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,,,2,,,,,,,1,,,1,2,,1,,2,3,3,2,1,2,,,,,,,,,,,2,,,,,1,,1,,,,,,1,2,,1,,,,,,4,,3,1,,,2,,,,,
Valeriana officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viburnum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,2,1,2,1,,2,,1,,2,,,,1,,2,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,2,1,1,,4,,4,,,1,,,1,,,,,
Viscum,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,2,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,
